have an argument with someone,sich mit jemandem streiten
break up with someone,mit jemandem Schluss machen
lie to someone,jemanden anlügen
make up with someone,sich mit jemandem versöhnen
get on well with someone,sich mit jemandem gut verstehen
storm out of a room,aus einem Raum stürmen
have a fight with someone,sich mit jemandem prügeln
fall out with someone,sich mit jemandem zerstreiten
be honest with someone,ehrlich zu jemandem sein
mind your own business,kümmern Sie sich um Ihre eigenen Angelegenheiten

