asteroid,"Most asteroids are found between Mars and Jupiter.",Asteroid
astronaut,"Astronauts travel into space in a spacecraft.",Astronaut/in
explosion,"There were two loud explosions and then the building collapsed.",Explosion
orbit,"The space shuttle stayed in orbit around the Earth.",Umlaufbahn
plaque,"There is a plaque on the moon that says when the first landing took place.",Tafel
space shuttle,"A space shuttle is used to travel between the Earth and a space station.",Raumfähre
altogether,"Altogether there are 8 planets in our solar system.",insgesamt
atmosphere,"The atmosphere surrounds the Earth and protects it from the sun's rays.",Atmosphäre
crew,"The crew of a spaceship have to train very hard before they can go into space.",Mannschaft; Besatzung
disgusting,"Sorry, but this pizza is disgusting. It tastes horrible.",ekelhaft
engineering,"A spaceship is a fantastic work of engineering.",Maschinenbau; Ingenieurwesen
mankind,"One day mankind might need a new home on another planet.",Menschheit
space travel,"Space travel has made it possible to land on the moon.",Raumfahrt
sunrise,"Sunrise tomorrow is around 6 a.m.",Sonnenaufgang
sunset,"Sunset tomorrow is around 8.30 p.m.",Sonnenuntergang
warning,"There's a warning not to go into the water. There are jellyfish.",Warnung
advert,"You want to sell your car? I saw your advert in the local newspaper.",Reklame; Anzeige
spacecraft,"In the future there will probably be several kinds of spacecraft to take us into space.",Raumfahrzeug
commercial,"We use the plane for private and commercial flights.",kommerziell
demand,"Tell me why you did that. I demand an answer.",verlangen
multibillion,"It's a very expensive multibillion-dollar project.",Multimilliarden-
privately owned,"The race was won by a privately owned yacht.",im Privatbesitz befindlich
celebrate,"She wants to celebrate her birthday next weekend.",feiern
depressed,"He and his girlfriend broke up last week. He's miserable and feeling very depressed.",deprimiert
disturb,"I'm sorry to disturb you, but I think you should see this now.",stören
masterpiece,"Her picture was a brilliant piece of art – a masterpiece.",Meisterwerk
"neither ... nor","Neither you nor I will be able to travel to other planets for many years.","weder ... noch"
reply,"She replied to his question immediately.","erwidern, antworten"
biosphere,"The biosphere is the area of the planet where organisms live, including the ground and the air.","Lebensraum, Biosphäre"
genetic engineering,"Cloning is an example of genetic engineering.","Gentechnik, Genmanipulation"
gravity,"It's gravity that makes satellites move around the Earth.",Schwerkraft
resource,"The computer lab is an essential resource for students.","(Hilfs-)Mittel, Quelle"
surface,"About one third of the Earth's surface is land.",Oberfläche
uninhabitable,"After the earthquake, many of the ruined houses were uninhabitable.",unbewohnbar
commander,"The commander of the spaceship gave his orders to the crew.",Kommandant/in
tiring,"Shopping all day was very tiring. I'm exhausted!",ermüdend
