computing,"I love programming, so I'm glad I found a job in computing.",Datenverarbeitung; Computerwesen
finance,"She works in finance. She's an accountant.",Finanzwesen
health care,"If you want to work in health care, you need to be flexible.",Gesundheitswesen
sales and marketing,"He has good people skills. No wonder he works in sales and marketing.",Verkauf und Marketing
deserve,"The team played well and really deserved to win.",verdienen
female,"My dog's a girl, so it's female, not male.",weiblich
male,"Male ducks are called drakes.",männlich
satisfaction,"I love my job. It gives me a lot of satisfaction.",Genugtuung; Zufriedenheit
unemployed,"I lost my job last week. Now I'm unemployed.",arbeitslos
career,"She started her career as a model ten years ago.",Karriere; Berufslaufbahn
be keen on,"I was very tired, so I wasn't keen on going to the party.",von etwas begeistert sein
be responsible for,"The architect is responsible for designing the project.",für etwas verantwortlich sein
bonus,"The staff got a bonus for finishing the project on time.",Bonus; Zulage; Prämie
deadline,"We had to hurry to meet the deadline.",Frist; Abgabetermin
develop,"The company develops new software programmes.",entwickeln
earn,"I need to earn a lot of money if I want to go on holiday to Australia.",verdienen
launch,"The new product will be launched in July.",einführen; auf den Markt bringen
pros and cons,"Each technology has its pros and cons.",Vor- und Nachteile
salary,"She earns a good salary.",Gehalt
think up,"Can't you think up a better excuse than that?",ausdenken; erfinden
working hours,"Most people enjoy shorter working hours and more leisure time.",Arbeitszeit
advice,"Take my advice. Don't do it.",Ratschlag
ambition,"His ambition is to become world champion.",Ehrgeiz
casual,"Don't be too casual during an interview for a new job.",lässig; locker
company,"I've worked for the company for 2 years now.",Unternehmen; Firma
confidently,"Try to speak and act confidently, but don't be cheeky.",selbstbewusst
employer,"My new employer is a big computer company.",Arbeitgeber/in
enthusiastic,"My parents love classical music, but I'm not so enthusiastic.",enthusiastisch; begeistert
eye contact,"Look at your interviewer and try to keep eye contact.",Augenkontakt
job interview,"She has an interview next week for the manager's job.",Vorstellungsgespräch
memorise,"Read the text and try to memorise all the facts.",sich einprägen
naturally,"Act naturally. Don't try to be like another person.",natürlich
skills,"We need someone with practical skills for the job.",Fähigkeiten
journalism,"She can write well. She's looking for a career in journalism.",
