"black market","You can't get these things in a normal shop. We bought them on the black market.","Schwarzmarkt"
"collect","I've collected stamps since I was 12.","sammeln"
"collection","The painting comes from his private collection.","Sammlung"
"fascination","His fascination with garden gnomes started five years ago.","Faszination"
"rare","You don't see many of those butterflies. They're very rare.","selten"
"auction","I bought this painting at an auction.","Auktion, Versteigerung"
"burn to the ground","The building burned to the ground.","niederbrennen"
"copy","The book sold 20,000 copies within two weeks.","Kopie, Exemplar"
"execute","After the trial, the murderer was executed.","hinrichten"
"furious","I'm furious that I wasn't told about it.","wütend, aufgebracht"
"judge","The judge sentenced him to five years in prison.","Richter/in"
"librarian","She works in the town library as a librarian.","Bibliothekar/in"
"library","I never buy books; I always go to the library.","Bibliothek"
"monastery","The monks lived in a big monastery outside the city.","Kloster"
"monk","A monk is a member of a religious group of men.","Mönch"
"precious","That ring means a lot to me. It's very precious.","kostbar"
"preserve","We need to preserve our traditions and our heritage.","erhalten, schützen"
"rob","We've been robbed. The thieves have taken everything from the house.","ausrauben"
"sentence to death","He was sentenced to death for his crime.","zu Tode verurteilen"
"shorten","That film was much too long. I think they should shorten it.","kürzen"
"addict","Look at all the science-fiction addicts waiting outside the cinema! They want to see the new Star Wars movie.","Abhängige/r, Süchtige/r"
"addiction","He spends all his time in front of the computer. He has an addiction.","Sucht"
"command","I gave her the command to stay at home.","Befehl"
"go crazy","I must be going crazy. I can't find my car keys anywhere.","verrückt werden, durchdrehen"
"miss out on something","Of course I'm coming. I don't want to miss out on all the fun!","etwas verpassen"
"pale","Are you really OK? You look pale.","blass"
"turn up","When do you think our guests will turn up?","auftauchen"
"whisper","He whispered in my ear to tell me the secret.","flüstern"
"sheet","Write this down on a sheet of paper.","Blatt"
"confuse somebody","His comments only confused me even more.","jemanden verwirren"
"kitschy","The restaurant is decorated with kitschy furniture from the 1950s.","kitschig"
