"best wishes","I sent her a birthday card with best wishes from us all.","mit den besten Wünschen"
"edition","The latest edition of the book has new photos and a longer introduction.","Ausgabe"
"scuba-diving","Last year we went scuba-diving in California.","(Sport-)Tauchen"
"water-proof","My feet are wet. And I thought my new shoes were water-proof!","wasserdicht"
"artist","He's a well-known recording artist.","Künstler/in"
"autograph","I saw Madonna and asked her for her autograph.","Autogramm"
"chill out","I feel really tired after the race. I need to chill out at home for a few hours.","relaxen, sich entspannen"
"elder","My elder brother is 19. I'm 16.","älter"
"highlight","Our holiday in California was the highlight of the year for the whole family.","Höhepunkt"
"last but not least","That was today's news. And now, last but not least – the weather.","nicht zuletzt"
"leisure centre","Let's go down to the leisure centre and have a game of table tennis.","Freizeitzentrum"
"occasionally","There's an ice cream parlour on the corner. We go there occasionally in the summer.","ab und zu, hin und wieder"
"apply (for)","If you want the job, you'll have to apply immediately.","sich bewerben (für)"
"discipline","To be successful in any sport, you need skill and discipline.","Disziplin"
"honesty","I didn't know. Honestly, I didn't.","ehrlich"
"tough","Life is tough at the moment. I don't have any pocket money left.","hart, schwierig"
"tournament","Who won the tennis tournament this year?","Turnier"
"beggar","There was a poor beggar on the street who asked me for money.","Bettler/in"
"coal","We burn oil, wood or coal to heat our homes in winter.","Kohle"
"legend","The legend tells us that one day King Arthur will return to save the world.","Legende"
"ripe","I love strawberries, but they must be ripe.","reif"
"catch up on","She reads the newspaper on Sunday morning to catch up on the news.","aufholen; (Versäumtes) nachholen"
"get involved with","This is too dangerous. I am not getting involved.","sich auf etwas einlassen; mitmischen (bei)"
"help out","I sometimes help out in the kitchen.","(aus-)helfen"
"kill time","We killed time watching the boats on the river.","sich die Zeit vertreiben"
"make money","She's making a lot of money with her job.","Geld machen/verdienen"
"take care of","Don't worry about your broken ankle. I'm going to take care of you.","Acht geben auf, sorgen für"
"take up","He did not want to take up a new sport. He had too much to do.","anfangen"
"attend","How many people attended the baseball game?","an etwas teilnehmen; etwas besuchen"
