border,"He grew up in Malaysia, near the Indonesian border.",Grenze
communicate,"Humans communicate with language.",kommunizieren
fashionable,"Today piercing has become very fashionable.","in Mode, modisch"
firstly,"Why do you wear a stud? – Well, firstly, I think it looks good!",erstens
funeral,"Our neighbour died yesterday. The funeral is on Friday.",Begräbnis
health risk,"Eating too much fast food can be a health risk.",Gesundheitsrisiko
in common,"The two sisters had nothing in common.","gemein, gemeinsam"
needle,"The needle makes a hole in your ear for the earring.",Nadel
permanent,"The accident has not done any permanent damage.","dauerhaft, endgültig"
pierced,"When your ear is pierced, you have a small hole in it.","durchstochen, gepierct"
rebellious,"She didn't like school, she has a rebellious nature.",rebellisch
religious,"If you are religious, you try to go to church regularly.",religiös
ceremony,"During the opening ceremony the stadium was full.",Zeremonie
bury,"The pirates buried the treasure on a small island.",begraben
devil,"A devil is another name for an evil spirit.",Teufel
confused,"I'm a little confused. Can you explain that again, please?",verwirrt
Far East,"Japan and China are in the Far East.",Fernost
gesture,"A gesture with your hand can mean different things in different countries.",Geste
greet,"When we greet people, we say ""Hi"" or ""Hello"".",begrüßen
index finger,"Your index finger is the finger next to your thumb.",Zeigefinger
insult,"I think I insulted her when I said she was overweight.",beleidigen
nod the head,"I can't hear you. Nod your head if you agree.",mit dem Kopf nicken
palm,"The palm is the area on the inside of your hand.",Handfläche
pass something on,"Please pass my message on to your sister.",etwas weitergeben
thumb,"On each hand you have four fingers and a thumb.",Daumen
victory,"We won 3 – 0. It was a great victory.",Sieg
zero,"It was very cold. The temperature dropped to zero.",Null
decent-looking,"He's not too cute, but he's a decent-looking boy.","einigermaßen gut aussehend"
embarrassed,"I didn't have enough money to pay the bill. I felt very embarrassed.",verlegen
giggle,"He looked so funny that the girls giggled when they saw him.",kichern
goth,"Everything she wears is black. She must be a goth.",Grufti
hastily,"Take more time. Don't do things so hastily.",hastig
ignore,"She didn't even look at me at the party. She just ignored me.",ignorieren
sigh,"""This film is really boring,"" she sighed.",seufzen
sitting room,"Let's have tea in the sitting room this afternoon.",Wohnzimmer
scare off,"The cat has disappeared. The dogs scared it off.",verscheuchen
sleeve,"Do you like shirts with long or short sleeves?",Ärmel
possibility,"Is there a possibility that you might not come to my party?",Möglichkeit
