achieve,"After all this hard work, they finally achieved their goal.",erreichen
donate,"We donated our old clothes to charity.",spenden
drop out (of school),"He dropped out of high school at the age of 16.",(die Schule) abbrechen
goal,"Her primary goal is to get a college degree.",Ziel
income,"I have an income of 25,000 pounds a year.",Einkommen
inspire,"She inspired generations of future scientists.",inspirieren
support,"I completely support your decision.",unterstützen
encouragement,"Teachers should give their students a lot of encouragement.","Ermutigung, Förderung"
community,"The festival was a great way for the local community to get together.",Gemeinschaft
exceed,"The cost must not exceed 10 dollars.",übertreffen
frustrated,"He lost the match and was really frustrated.",frustriert
grateful,"I'm sure the museum will be grateful for all the donations.",dankbar
in particular,"She didn't know anybody in particular.","besonders, im Speziellen"
learn a lesson,"My computer crashed before I saved the document – I've learned my lesson, and now I save everything all the time.",eine Lehre aus etwas ziehen
range of,"We discussed a wide range of topics.","eine Reihe von, zahlreiche"
relate to,"The same thing happened to me; I can relate to your feelings.","sich mit jemandem/etwas identifizieren, nachempfinden"
Small wonder,"Small wonder that we're lost, since we didn't ask for directions.",Kein Wunder
transmit,"The data is transmitted via Bluetooth.","senden, übermitteln"
